employee_id,title,start_date
63,Developer,2022-07-26
73,Manager,2017-06-09
251,Analyst,2019-01-21
124,HR Specialist,2016-03-27
375,Analyst,2021-10-11
121,HR Specialist,2019-03-18
275,HR Specialist,2017-06-01
431,Manager,2015-11-09
500,Manager,2017-04-19
398,Analyst,2022-01-10
120,HR Specialist,2016-01-10
422,Analyst,2016-03-26
437,Developer,2016-08-17
317,Analyst,2018-05-18
164,Data Scientist,2016-05-14
424,Analyst,2016-04-08
465,Data Scientist,2015-04-23
286,Data Scientist,2017-11-01
265,Data Scientist,2021-07-06
320,Developer,2020-04-08
161,Analyst,2015-05-20
376,Analyst,2018-11-25
308,Developer,2016-05-31
89,HR Specialist,2022-03-01
142,Manager,2020-05-01
203,Analyst,2022-12-03
309,Manager,2020-12-05
227,Developer,2017-06-06
489,HR Specialist,2018-09-03
443,HR Specialist,2015-02-19
334,HR Specialist,2015-01-19
222,Developer,2016-12-26
41,Data Scientist,2021-02-22
196,Data Scientist,2019-01-13
68,Manager,2022-02-19
476,Data Scientist,2016-03-27
264,Data Scientist,2021-05-25
2,HR Specialist,2018-03-10
361,HR Specialist,2018-01-12
125,Manager,2021-09-04
110,Analyst,2015-08-03
86,Manager,2019-03-30
425,Manager,2021-03-12
120,Developer,2015-05-08
127,Developer,2020-01-20
255,Manager,2017-01-29
183,Manager,2021-09-17
16,Manager,2019-12-21
477,Data Scientist,2021-07-13
62,Developer,2022-11-18
369,Manager,2022-07-24
432,HR Specialist,2015-12-27
158,HR Specialist,2016-07-22
268,Data Scientist,2018-11-16
35,Data Scientist,2021-03-15
267,Analyst,2019-05-17
64,Analyst,2019-08-20
494,Analyst,2015-07-21
50,Data Scientist,2020-08-26
469,Data Scientist,2021-06-27
255,Data Scientist,2016-06-01
149,HR Specialist,2018-09-10
325,Data Scientist,2018-12-06
304,HR Specialist,2018-09-03
276,Analyst,2016-11-11
357,Analyst,2020-06-11
451,Analyst,2019-01-31
172,Manager,2016-02-29
417,Manager,2020-05-22
201,Developer,2019-09-09
445,Developer,2021-08-31
393,Developer,2017-02-16
324,Manager,2020-11-15
35,Manager,2020-01-01
465,Developer,2015-07-27
482,Developer,2019-03-18
216,Data Scientist,2019-07-18
480,Developer,2022-03-18
65,Data Scientist,2021-01-22
8,HR Specialist,2015-01-22
301,Manager,2015-06-03
343,Developer,2020-05-16
431,Manager,2015-08-07
424,Manager,2016-10-30
332,Manager,2019-02-27
438,HR Specialist,2021-03-27
76,Analyst,2020-08-29
174,Developer,2022-02-13
47,Analyst,2017-08-07
15,Analyst,2021-01-04
361,Analyst,2016-02-07
147,Manager,2016-08-18
26,Data Scientist,2021-08-11
308,Manager,2018-12-08
93,Manager,2022-10-20
406,Analyst,2018-03-03
232,Manager,2019-10-09
21,Analyst,2018-07-30
307,Data Scientist,2015-03-14
38,Developer,2016-04-25
276,Analyst,2016-07-13
157,Data Scientist,2017-01-14
179,Developer,2019-01-06
132,HR Specialist,2015-04-10
311,Analyst,2017-12-18
455,Analyst,2021-12-30
348,HR Specialist,2021-04-24
28,HR Specialist,2016-02-17
260,Analyst,2017-12-24
406,HR Specialist,2022-03-27
76,Manager,2018-03-23
429,Developer,2020-07-01
67,Developer,2021-05-02
342,Developer,2017-03-31
492,Manager,2016-10-23
194,HR Specialist,2016-07-13
472,Data Scientist,2018-06-25
162,HR Specialist,2019-12-19
347,Analyst,2022-12-25
439,Developer,2016-09-01
361,HR Specialist,2021-09-27
257,Data Scientist,2015-01-25
72,Analyst,2020-07-21
87,Manager,2015-10-11
422,Manager,2019-01-12
262,Data Scientist,2015-10-28
214,Analyst,2017-12-27
153,Developer,2017-10-27
210,HR Specialist,2017-03-27
401,Analyst,2015-03-24
61,Manager,2020-04-04
268,Data Scientist,2020-09-24
262,Data Scientist,2016-09-09
218,HR Specialist,2021-04-28
283,Data Scientist,2015-06-25
136,Data Scientist,2018-04-04
467,Analyst,2022-05-28
380,Developer,2017-04-21
362,HR Specialist,2016-01-05
449,Analyst,2019-12-24
441,Developer,2020-10-02
93,Analyst,2016-11-20
109,Analyst,2019-11-15
241,Data Scientist,2018-09-26
355,Developer,2018-12-03
424,HR Specialist,2016-01-02
142,HR Specialist,2016-10-05
291,Developer,2021-08-23
432,Data Scientist,2015-03-14
237,Manager,2018-06-25
340,Analyst,2017-05-09
312,Data Scientist,2015-02-12
177,Developer,2021-08-21
141,Analyst,2017-11-30
189,HR Specialist,2021-01-26
486,Manager,2021-03-09
49,HR Specialist,2019-02-25
302,Developer,2020-09-17
369,Analyst,2016-01-04
190,Developer,2022-09-05
136,Analyst,2015-05-31
43,Data Scientist,2018-02-08
404,Manager,2019-02-12
380,Data Scientist,2018-12-30
353,Data Scientist,2017-12-06
90,Developer,2017-10-20
295,Manager,2019-05-18
341,Analyst,2022-08-16
245,Analyst,2020-08-02
433,HR Specialist,2018-10-21
192,Analyst,2015-03-10
318,Developer,2021-06-04
106,Data Scientist,2017-08-01
363,Data Scientist,2017-03-12
310,Data Scientist,2021-06-01
382,Manager,2021-02-28
233,Analyst,2015-03-02
265,Developer,2017-08-03
344,Manager,2018-08-30
37,HR Specialist,2018-03-30
305,Developer,2015-11-27
41,Developer,2019-04-01
17,Developer,2015-12-04
344,Data Scientist,2019-06-18
277,Developer,2018-08-20
307,Analyst,2019-03-07
59,Developer,2019-08-01
423,Data Scientist,2018-09-23
183,Developer,2019-04-23
41,HR Specialist,2022-05-10
39,HR Specialist,2015-10-02
